Target,D/B,R
ISO-Oph_208,B-33,32.57
ISO-Oph_208,D-22,22.45
ODISEA_C4_016A,B-11,10.8
ODISEA_C4_016B,B-8,7.76
ODISEA_C4_043,B-21,20.71
ODISEA_C4_043,D-11,10.52
ODISEA_C4_045,B-21,20.54
ODISEA_C4_065,B-7,6.66
ODISEA_C4_081,B-12,12.46
ODISEA_C4_104,I-20,20.6726224128882
ODISEA_C4_105A,I-14,13.8473456054245
ODISEA_C4_114,B-34,34.01
ODISEA_C4_114,D-22,21.71
ODISEA_C4_114,I-60,60
ODISEA_C4_116,B-22,22.33
ODISEA_C4_117A,B-16,15.64
ODISEA_C4_117A,B-8,8.42
ODISEA_C4_117A,D-13,12.51
ODISEA_C4_117A,D-4,3.78
ODISEA_C4_12,B-27,26.83
ODISEA_C4_127,B-41,41.3
ODISEA_C4_130,I-25,24.8558537899005
ODISEA_C4_130,I-44,43.6278150149788
ODISEA_C4_134A,I-14,13.4912171379697
ODISEA_C4_141,B-34,33.66
ODISEA_C4_143,B-116,115.64
ODISEA_C4_143,B-164,164.28
ODISEA_C4_143,B-239,238.78
ODISEA_C4_143,B-79,79.42
ODISEA_C4_143,B-45,45.27
ODISEA_C4_143,D-105,105.29
ODISEA_C4_143,D-15,15.26
ODISEA_C4_143,D-152,151.86
ODISEA_C4_143,D-178,177.73
ODISEA_C4_143,D-74,74.25
ODISEA_C4_143,I-197,197.390614634823
ODISEA_C4_143,I-218,218.086864568194
ODISEA_C4_22AB,B-21,21.38
ODISEA_C4_22AB,B-60,60.08
ODISEA_C4_22AB,D-26,26.16
ODISEA_C4_27,B-20,20.08
ODISEA_C4_27,D-13,12.92
ODISEA_C4_3,I-95,95.0771084353358
ODISEA_C4_30,B-45,45.02
ODISEA_C4_30,D-32,31.81
ODISEA_C4_33,I-31,31.1131599911209
ODISEA_C4_34,I-45,45
ODISEA_C4_38,B-64,63.79
ODISEA_C4_38,D-61,61.01
ODISEA_C4_38,I-32,32.5036750698819
ODISEA_C4_39,B-103,102.72
ODISEA_C4_39,D-94,94.44
ODISEA_C4_39,I-45,45.4053386325824
ODISEA_C4_41,B-73,73.21
ODISEA_C4_41,D-55,54.86
ODISEA_C4_41,I-27,27.0064221567871
ODISEA_C4_41,I-96,95.6258083432921
ODISEA_C4_47,B-83,82.56
ODISEA_C4_47,B48,47.8
ODISEA_C4_47,D-44,43.63
ODISEA_C4_47,D-70,70.05
ODISEA_C4_51,B-86,85.98
ODISEA_C4_51,D-76,75.78
ODISEA_C4_51,I-39,38.7031851798803
ODISEA_C4_53A,B-31,30.53
ODISEA_C4_53A,D-23,22.65
ODISEA_C4_62,B-35,35.28
ODISEA_C4_62,D-13,13.04
ODISEA_C4_62,I-55,55.4472348195379
ODISEA_C4_64,I-65,65
ODISEA_C4_67,I-33,33.198932873657
ODISEA_C4_68,B-14,13.85
ODISEA_C4_70,I-30,29.9317281728138
ODISEA_C4_72,I-32,32.5036750698819
ODISEA_C4_75,B-9,9.13
ODISEA_C4_83,B-39,38.76
ODISEA_C4_83,D-28,28.33
RA162813.74,B-126,126.36
RA162813.74,B-186,186.16
RA162813.74,B-66,65.88
RA162813.74,D-100,99.94
RA162813.74,D-156,155.56
RA162813.74,D-39,38.76
