id,field,beam_pa,beam_maj,beam_min,center_x,center_y,Distance,Rmax_frank,B8_Flux,isbinary,rms_data,rms_model_profile,Class,Features,R_zoom,rms_model_percentage,Stage
0,ISO-Oph_123,-88.46908,0.06534,0.05455,16:27:17.5744,-24.05.14.300,136.58,0.5,28.9,0,0.00038,4003099394.32577,II,Smooth,0.25,0.088586566170015,0
1,ISO-Oph_13,86.27869,0.06455,0.05194,16:26:07.032,-24.27.24.800,139.4,0.5,25.1,0,0.00039,4367702778.83606,II,Smooth,0.3,0.147875632051979,0
2,ISO-Oph_193,-86.48737,0.06742,0.0551,16:28:12.713,-24.11.36.340,151.74,0.5,11.57,0,0.00047,4750553056.10056,II,Smooth,0.25,0.051123363461826,0
3,ISO-Oph_208,77.19341,0.06774,0.05403,16:31:59.319,-24.54.41.140,152.16,0.5,57.1,0,0.00037,3795842867.97542,II,Gap,0.5,0.04475803463792,2
4,ODISEA_C4_001,79.52281,0.0649,0.05259,16:21:31.918,-23.01.40.890,137,0.5,12.8,0,0.00047,5170548929.41053,II,Smooth,0.5,0.168533174272956,0
5,ODISEA_C4_007,79.23988,0.06527,0.05292,16:22:24.951,-23.29.55.550,138.33,0.5,40.6,0,0.00041,4456942902.77622,II,Smooth,0.25,0.051239551320193,0
6,ODISEA_C4_009,79.9478,0.06323,0.05163,16:23:05.416,-23.02.57.610,139.4,0.5,17.7,0,0.00047,5405790528.48075,I,Smooth,0.3,0.072089702423666,0
7,ODISEA_C4_016A,83.70428,0.06517,0.05202,16:25:02.115,-24.59.32.952,142.04,0.5,35.1,1,0.00027,2990421161.06375,II,Cavity,0.25,0.098998998669164,4
8,ODISEA_C4_016B,83.44037,0.06613,0.05255,16:25:02:008,-24.59.33.180,142.04,0.25,23.7,1,0.00026,2809239503.51781,II,Cavity,0.25,0.058617909872863,4
9,ODISEA_C4_017,86.65923,0.06426,0.05185,16:25:06.905,-23.50.50.970,144.45,0.5,14.4,0,0.00048,5409266984.2387,II,Smooth,0.25,0.092025811648364,0
10,ODISEA_C4_018,85.40572,0.06272,0.05091,16:25:24.339,-24.29.45.010,133.59,0.5,36.5,0,0.00041,4821269095.05347,II,Smooth,0.25,0.059424581855825,0
11,ODISEA_C4_021,86.69376,0.06424,0.05155,16:25:36.729,-24.15.43.160,142.87,0.5,20.4,0,0.00031,3514909551.4537,II,Smooth,0.15,0.02536594598774,0
12,ODISEA_C4_032,-88.38823,0.06558,0.05459,16:26:17.0638,-24.20.22.210,134.27,0.5,20.72,0,0.00035,3670880100.31157,II,Smooth,0.2,0.039295200211188,0
13,ODISEA_C4_037A,-87.03925,0.06712,0.05535,16:26:23.4278,-24.21.01.920,125.69,0.5,52,1,0.00028,2829926266.98938,II,Smooth,0.2,0.011777498699868,0
